Unnamed: 0,series_id,value,date
26.0,CES0000000001,157032.0,2024-01-01
25.0,CES0000000001,157238.0,2024-02-01
24.0,CES0000000001,157466.0,2024-03-01
23.0,CES0000000001,157530.0,2024-04-01
22.0,CES0000000001,157608.0,2024-05-01
21.0,CES0000000001,157695.0,2024-06-01
20.0,CES0000000001,157748.0,2024-07-01
19.0,CES0000000001,157757.0,2024-08-01
18.0,CES0000000001,157912.0,2024-09-01
17.0,CES0000000001,157945.0,2024-10-01
16.0,CES0000000001,158079.0,2024-11-01
15.0,CES0000000001,158316.0,2024-12-01
,CES0000000001,158268.0,2025-01-01
,CES0000000001,158310.0,2025-02-01
,CES0000000001,158377.0,2025-03-01
,CES0000000001,158485.0,2025-04-01
,CES0000000001,158498.0,2025-05-01
,CES0000000001,158478.0,2025-06-01
,CES0000000001,158542.0,2025-07-01
,CES0000000001,158472.0,2025-08-01
,CES0000000001,158548.0,2025-09-01
,CES0000000001,158408.0,2025-10-01
,CES0000000001,158449.0,2025-11-01
,CES0000000001,158432.0,2025-12-01
,CES0000000001,158592.0,2026-01-01
,CES0000000001,158459.0,2026-02-01
,CES0000000001,158637.0,2026-03-01
188.0,CES0500000003,34.47,2024-01-01
187.0,CES0500000003,34.52,2024-02-01
186.0,CES0500000003,34.65,2024-03-01
185.0,CES0500000003,34.76,2024-04-01
184.0,CES0500000003,34.89,2024-05-01
183.0,CES0500000003,35.01,2024-06-01
182.0,CES0500000003,35.08,2024-07-01
181.0,CES0500000003,35.22,2024-08-01
180.0,CES0500000003,35.34,2024-09-01
179.0,CES0500000003,35.46,2024-10-01
178.0,CES0500000003,35.6,2024-11-01
177.0,CES0500000003,35.69,2024-12-01
,CES0500000003,35.84,2025-01-01
,CES0500000003,35.94,2025-02-01
,CES0500000003,36.11,2025-03-01
,CES0500000003,36.12,2025-04-01
,CES0500000003,36.28,2025-05-01
,CES0500000003,36.36,2025-06-01
,CES0500000003,36.47,2025-07-01
,CES0500000003,36.62,2025-08-01
,CES0500000003,36.7,2025-09-01
,CES0500000003,36.85,2025-10-01
,CES0500000003,37.0,2025-11-01
,CES0500000003,37.02,2025-12-01
,CES0500000003,37.15,2026-01-01
,CES0500000003,37.29,2026-02-01
,CES0500000003,37.38,2026-03-01
134.0,CES3000000001,12875.0,2024-01-01
133.0,CES3000000001,12852.0,2024-02-01
132.0,CES3000000001,12836.0,2024-03-01
131.0,CES3000000001,12833.0,2024-04-01
130.0,CES3000000001,12825.0,2024-05-01
129.0,CES3000000001,12814.0,2024-06-01
128.0,CES3000000001,12806.0,2024-07-01
127.0,CES3000000001,12772.0,2024-08-01
126.0,CES3000000001,12758.0,2024-09-01
125.0,CES3000000001,12697.0,2024-10-01
124.0,CES3000000001,12711.0,2024-11-01
123.0,CES3000000001,12693.0,2024-12-01
,CES3000000001,12673.0,2025-01-01
,CES3000000001,12671.0,2025-02-01
,CES3000000001,12666.0,2025-03-01
,CES3000000001,12662.0,2025-04-01
,CES3000000001,12651.0,2025-05-01
,CES3000000001,12636.0,2025-06-01
,CES3000000001,12625.0,2025-07-01
,CES3000000001,12615.0,2025-08-01
,CES3000000001,12612.0,2025-09-01
,CES3000000001,12603.0,2025-10-01
,CES3000000001,12593.0,2025-11-01
,CES3000000001,12580.0,2025-12-01
,CES3000000001,12582.0,2026-01-01
,CES3000000001,12576.0,2026-02-01
,CES3000000001,12591.0,2026-03-01
161.0,CES7000000001,16716.0,2024-01-01
160.0,CES7000000001,16744.0,2024-02-01
159.0,CES7000000001,16780.0,2024-03-01
158.0,CES7000000001,16762.0,2024-04-01
157.0,CES7000000001,16731.0,2024-05-01
156.0,CES7000000001,16744.0,2024-06-01
155.0,CES7000000001,16751.0,2024-07-01
154.0,CES7000000001,16746.0,2024-08-01
153.0,CES7000000001,16776.0,2024-09-01
152.0,CES7000000001,16799.0,2024-10-01
151.0,CES7000000001,16823.0,2024-11-01
150.0,CES7000000001,16862.0,2024-12-01
,CES7000000001,16832.0,2025-01-01
,CES7000000001,16796.0,2025-02-01
,CES7000000001,16823.0,2025-03-01
,CES7000000001,16836.0,2025-04-01
,CES7000000001,16839.0,2025-05-01
,CES7000000001,16837.0,2025-06-01
,CES7000000001,16848.0,2025-07-01
,CES7000000001,16870.0,2025-08-01
,CES7000000001,16907.0,2025-09-01
,CES7000000001,16948.0,2025-10-01
,CES7000000001,16936.0,2025-11-01
,CES7000000001,16961.0,2025-12-01
,CES7000000001,16966.0,2026-01-01
